id,user_id,order_date,status,amount
1,1,2018-01-01,returned,528
2,3,2018-01-02,completed,2292
3,94,2018-01-04,completed,814
4,50,2018-01-05,completed,3436
5,64,2018-01-05,completed,2283
6,54,2018-01-07,completed,982
7,88,2018-01-09,completed,412
8,2,2018-01-11,returned,3205
9,53,2018-01-12,completed,4492
10,7,2018-01-14,completed,4706
11,99,2018-01-14,completed,2821
12,59,2018-01-15,completed,2891
13,84,2018-01-17,completed,525
14,40,2018-01-17,returned,1407
15,25,2018-01-17,completed,1206
16,39,2018-01-18,completed,2862
17,71,2018-01-18,completed,4695
18,64,2018-01-20,returned,2834
19,54,2018-01-22,completed,2108
20,20,2018-01-23,completed,1441
21,71,2018-01-23,completed,113
22,86,2018-01-24,completed,3673
23,22,2018-01-26,return_pending,817
24,3,2018-01-27,completed,4995
25,51,2018-01-28,completed,3193
26,32,2018-01-28,completed,672
27,94,2018-01-29,completed,154
28,8,2018-01-29,completed,2684
29,57,2018-01-31,completed,3772
30,69,2018-02-02,completed,935
31,16,2018-02-02,completed,459
32,28,2018-02-04,completed,859
33,42,2018-02-04,completed,1264
34,38,2018-02-06,completed,1134
35,80,2018-02-08,completed,273
36,85,2018-02-10,completed,2490
37,1,2018-02-10,completed,3627
38,51,2018-02-10,completed,4797
39,26,2018-02-11,completed,4006
40,33,2018-02-13,completed,2273
41,99,2018-02-14,completed,3944
42,92,2018-02-16,completed,401
43,31,2018-02-17,completed,2599
44,66,2018-02-17,completed,2913
45,22,2018-02-17,completed,4373
46,6,2018-02-19,completed,4056
47,50,2018-02-20,completed,1794
48,27,2018-02-21,completed,4417
49,35,2018-02-21,completed,4726
50,51,2018-02-23,completed,2682
51,71,2018-02-24,completed,202
52,54,2018-02-25,return_pending,3362
53,34,2018-02-26,completed,4300
54,54,2018-02-26,completed,3658
55,18,2018-02-27,completed,4511
56,79,2018-02-28,completed,4986
57,93,2018-03-01,completed,4082
58,22,2018-03-01,completed,4364
59,30,2018-03-02,completed,3536
60,12,2018-03-03,completed,3168
61,63,2018-03-03,completed,4278
62,57,2018-03-05,completed,360
63,70,2018-03-06,completed,1586
64,13,2018-03-07,completed,776
65,26,2018-03-08,completed,4088
66,36,2018-03-10,completed,2245
67,79,2018-03-11,completed,1493
68,53,2018-03-11,completed,2843
69,3,2018-03-11,completed,2860
70,8,2018-03-12,completed,4640
71,42,2018-03-12,shipped,3304
72,30,2018-03-14,shipped,700
73,19,2018-03-16,completed,3841
74,9,2018-03-17,shipped,3275
75,69,2018-03-18,completed,4795
76,25,2018-03-20,completed,2853
77,35,2018-03-21,shipped,233
78,90,2018-03-23,shipped,1648
79,52,2018-03-23,shipped,4902
80,11,2018-03-23,shipped,822
81,76,2018-03-23,shipped,3077
82,46,2018-03-24,shipped,205
83,54,2018-03-24,shipped,2982
84,70,2018-03-26,placed,1977
85,47,2018-03-26,shipped,3423
86,68,2018-03-26,placed,4458
87,46,2018-03-27,placed,4204
88,91,2018-03-27,shipped,589
89,21,2018-03-28,placed,2456
90,66,2018-03-30,shipped,4153
91,47,2018-03-31,placed,2011
92,84,2018-04-02,placed,4557
93,66,2018-04-03,placed,4063
94,63,2018-04-03,placed,1554
95,27,2018-04-04,placed,1359
96,90,2018-04-06,placed,4494
97,89,2018-04-07,placed,3741
98,41,2018-04-07,placed,3201
99,85,2018-04-09,placed,3878
